Id;País;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
1;Afeganistão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
2;África do Sul;0;0;0;0;0;0;0;0;0;0;0;0;26;4;0
3;Alemanha, República Democrática;119512;265742;225086;27715;36070;8189;61699;213348;10680;14012;15467;10794;3660;6261;2698
4;Angola;25931;25721;54786;33557;13889;2833;1573;12182;1908;7359;10170;477;345;0;0
5;Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;37;219;624;805
7;Antilhas Holandesas;17025;17938;8235;9810;7335;9247;11281;4455;6660;16641;5400;0;0;0;0
8;Argentina;0;0;162;0;13253;0;0;20385;0;0;0;15711;0;1015;6
9;Aruba;0;0;0;0;900;0;0;450;0;0;0;0;0;0;0
10;Austrália;60;218726;1014;1823;3632;9345;16707;6308;7437;1954;1350;2055;1161;1013;705
11;Áustria;0;0;0;0;0;0;0;0;0;675;0;0;0;0;0
12;Bahamas;0;0;0;3175;4529;1374;581;0;0;0;0;141;791;1212;1083
13;Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
14;Barbados;0;0;0;0;0;0;0;0;0;0;0;0;36;143;216
15;Barein;0;0;0;0;0;0;0;0;0;0;0;0;482;8;302
16;Bélgica;1077;3523;125962;42532;11802;16132;22461;151320;4473;7200;2790;7497;2498;3166;483
17;Belice;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
18;Benin;0;10350;0;0;0;0;0;0;0;5040;0;0;9;0;0
19;Bolívia;4985;3979;40463;54;12775;11868;19147;12534;10674;13586;9495;21566;0;9900;5850
20;Bósnia-Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0
21;Brasil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
22;Bulgária;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0
23;Cabo Verde;0;0;0;11991;600;0;0;0;0;0;0;18;0;0;16
24;Camarões;0;0;0;0;0;0;0;0;0;0;1749;0;0;0;0
25;Canadá;4172;20949;15664;0;28906;14304;25329;35082;24547;13711;6075;5308;1589;1672;1172
26;Catar;0;0;0;0;0;0;0;0;0;0;13338;0;0;0;1
27;Cayman, Ilhas;0;0;0;0;0;0;0;0;0;0;0;19;19;123;104
28;Chile;60930;0;1475;0;0;8550;0;0;0;0;0;11049;0;11;26
29;China;7638;8689;1553416;795;54156;87905;40929;64040;47609;134106;67594;30835;129852;122253;61884
30;Chipre;0;0;0;0;0;0;0;0;0;0;0;279;672;2478;1855
31;Cingapura;7270;1233;2419;1533;911;1212;766;541;1116;5445;0;3298;5044;4049;0
32;Colômbia;0;0;0;0;0;0;8;0;0;0;0;6944;897;15660;12160
33;Comores;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
34;Congo;0;0;0;0;360;0;0;0;0;0;0;0;0;0;0
35;Coreia, Republica Sul;1012;3520;0;0;0;0;0;0;0;8;0;120;70;103;67
36;Costa do Marfim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Costa Rica;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Croácia;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0
39;Cuba;2669;0;0;0;2880;0;0;38875;97965;63741;62791;4776;0;0;0
40;Curaçao;0;0;0;0;0;0;0;0;0;0;12340;23930;33951;47962;32263
41;Dinamarca;3480;518;1980;7034;32797;4716;17892;3240;7080;1278;581;0;240;659;87
42;Dominica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460
43;El Salvador;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0
44;Emirados Arabes Unidos;0;2437;1398;1035;2120;675;0;640;765;585;675;360;450;581;810
45;Equador;2700;0;0;0;0;0;0;0;0;0;0;0;2;3780;0
46;Eslovaca, Republica;0;585;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Espanha;0;2942;2181;0;5206;0;1972980;0;0;0;0;6123;3540;28;0
48;Estados Unidos;479269;443895;372319;228968;306787;146585;245368;222267;195896;258072;132688;169109;209765;300178;111085
49;Estônia;77697;4114;5438;15848;450;3321;0;0;0;900;0;0;0;0;0
50;Filipinas;0;0;0;0;0;0;0;0;0;0;0;9608;736;719;2784
51;Finlândia;0;0;0;0;12404;17100;36682;12960;0;7617;0;0;0;0;0
52;França;6349;11078;0;3614;0;195604;6885;33755;1596;6037;4253;11077;18286;12622;7052
53;Gana;0;18168;0;0;0;0;0;0;0;0;0;9000;7673;18810;12578
54;Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;23;769;0
55;Grécia;0;0;0;0;0;0;0;0;0;0;0;232;561;6859;908
56;Guatemala;0;0;20;0;0;0;0;0;0;0;0;0;1597;0;17347
57;Guiana;0;0;0;783;0;0;0;0;0;0;0;0;424;990;2372
58;Guiana Francesa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90
59;Guine Bissau;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0
60;Guine Equatorial;0;548;169;410;956;819;1108;5646;0;0;2639;8389;0;0;0
61;Haiti;0;20;4500;2700;0;0;0;0;0;0;0;79500;81873;399128;670379
62;Honduras;0;162;14;0;0;0;0;0;0;0;0;0;0;0;0
63;Hong Kong;0;2430;50319;0;2063;1609;16013;18130;1229;6975;1934;1742;9651;15159;12507
64;Hungria;0;0;0;540;0;0;0;0;0;0;0;0;0;0;87
65;Ilha de Man;0;0;0;0;0;0;0;0;0;0;0;0;28;11;97
66;Ilhas Virgens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;India;0;0;0;0;0;0;0;0;0;0;0;0;51;7;13
68;Indonésia;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
69;Irã;0;0;0;0;0;0;0;0;0;0;0;0;0;21;116
70;Iraque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Irlanda;0;0;0;3969;5376;0;0;0;0;0;0;7560;0;29;36
72;Itália;7209;0;1817;1458;11999;792;1710;604;0;585;468;3661;587;91;696
73;Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Japão;357943;232293;217974;112178;100835;29281;91988;106426;31597;34341;33909;36992;40621;36442;39491
75;Jordânia;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
76;Letônia;0;0;0;0;0;0;0;0;0;0;387;0;0;0;0
77;Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Libéria;0;0;0;0;0;0;0;0;0;0;0;658;4441;5155;7554
79;Luxemburgo;785;13606;7845;7344;9547;2444;5135;8281;2295;2759;2719;1778;1666;1086;0
80;Malásia;0;0;0;0;0;0;0;0;0;0;0;15;48;0;0
81;Malta;0;0;0;0;0;0;0;0;0;0;0;503;3661;3490;3441
82;Marshall, Ilhas;0;0;0;0;0;0;0;0;0;0;0;923;7276;6270;8644
83;Mauritânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
84;México;2453;0;0;0;1350;0;0;1521;0;0;664;2748;4;24;9
85;Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;9;9;14
86;Namibia;0;340;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Nicaragua;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0
88;Nigéria;0;7560;41;0;54;6449;1350;0;0;0;0;5175;28437;12094;68247
89;Noruega;10044;0;0;0;10268;5104;2375;7179;1058;0;0;1295;628;1859;1878
90;Nova Caledônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7227
91;Nova Zelândia;0;0;0;0;2587;2364;1004;2800;809;504;1678;969;500;95;657
92;Países Baixos;181046;340412;171654;87368;125414;134879;57792;165289;44987;42953;0;9451;44882;248;3791
93;Panamá;810;1161;24;0;0;39;0;0;0;0;0;1183;7918;10821;29520
94;Paraguai;1285459;2191901;486927;510989;240168;354824;481564;521847;495428;985739;2393468;3234168;2419537;3299013;6522527
95;Peru;0;0;0;0;0;0;0;0;0;0;0;5193;9755;0;9720
96;Polônia;0;20290;6982;20464;11732;21663;19249;30181;11654;11457;0;720;5;74;4
97;Porto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Portugal;109074;49090;141000;4577;95;47172;23810;71544;47736;0;0;0;18328;7958;6358
99;Quênia;10600;0;0;0;0;94;6;0;0;0;0;6771;0;0;0
100;Reino Unido;84613;100097;30092;123624;122629;82937;59161;305807;68382;117044;60711;67708;34295;22913;25316
101;República Dominicana;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;Rússia;266400;6207658;21912914;0;0;4528176;5893291;190656;47664;0;0;0;0;1463;181931
103;São Tomé e Príncipe;0;0;0;0;0;0;0;0;0;0;0;2184;0;0;0
104;São Vicente e Granadinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
105;Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Serra Leoa;0;0;0;0;0;0;0;0;0;0;0;0;18;9240;6525
107;Singapura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4504
108;Suazilândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
109;Suécia;919;26984;28334;0;1641;2705;3195;10404;1412;291;15445;8062;28;6;23
110;Suíça;26090;54384;27653;2025;0;4014;2997;27933;15872;4230;6525;0;2223;2827;627
111;Suriname;2700;900;3830;1836;3774;396;1800;6;453;900;3690;0;3206;4185;900
112;Tailândia;839;0;0;0;0;0;0;0;0;0;0;8;128;534;1334
113;Taiwan (FORMOSA);6377;10030;0;0;4500;0;0;12519;7200;16967;14988;7589;12;963;1313
114;Tanzânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Tcheca, República;85303;17135;9269;1091;6846;7960;3697;4500;2297;3837;2746;2712;2115;563;456
116;Togo;11;5160;0;0;0;0;0;0;0;0;0;0;0;0;1890
117;Trinidade Tobago;0;0;0;0;0;531;0;360;0;0;0;0;0;0;0
118;Tunísia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Turquia;0;0;0;0;0;0;0;0;0;0;0;360;115;0;343
120;Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
121;Uruguai;0;0;0;914;1238;1135;1526;0;0;0;0;7711;6180;0;136774
122;Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
123;Venezuela;20700;0;0;0;0;1029;0;14;0;0;680;71;0;4086;26415
124;Vietnã;0;0;743;8820;0;0;0;0;0;0;0;0;20;86;0
