id,pais_origem,pais_exportado,data,ano,quantidade (litros),valor (U$)
3,Brasil,"Alemanha, República Democrática",2006-01-01,2006,38302.0,89231.0
4,Brasil,Angola,2006-01-01,2006,3766.0,18293.0
7,Brasil,Antilhas Holandesas,2006-01-01,2006,19116.0,24419.0
16,Brasil,Bélgica,2006-01-01,2006,56571.0,52799.0
18,Brasil,Benin,2006-01-01,2006,10350.0,12075.0
19,Brasil,Bolívia,2006-01-01,2006,5822.0,6961.0
25,Brasil,Canadá,2006-01-01,2006,450.0,2202.0
28,Brasil,Chile,2006-01-01,2006,1988.0,2893.0
30,Brasil,Chipre,2006-01-01,2006,134.0,96.0
41,Brasil,Dinamarca,2006-01-01,2006,2805.0,8417.0
44,Brasil,Emirados Arabes Unidos,2006-01-01,2006,363.0,1446.0
48,Brasil,Estados Unidos,2006-01-01,2006,392590.0,591729.0
49,Brasil,Estônia,2006-01-01,2006,1974.0,4581.0
51,Brasil,Finlândia,2006-01-01,2006,11088.0,7920.0
52,Brasil,França,2006-01-01,2006,17010.0,34838.0
55,Brasil,Grécia,2006-01-01,2006,142.0,1535.0
67,Brasil,India,2006-01-01,2006,14.0,33.0
72,Brasil,Itália,2006-01-01,2006,2709.0,5423.0
74,Brasil,Japão,2006-01-01,2006,325031.0,240334.0
79,Brasil,Luxemburgo,2006-01-01,2006,1220.0,5354.0
92,Brasil,Países Baixos,2006-01-01,2006,451.0,1898.0
93,Brasil,Panamá,2006-01-01,2006,13.0,55.0
94,Brasil,Paraguai,2006-01-01,2006,1947106.0,873636.0
98,Brasil,Portugal,2006-01-01,2006,17732.0,13200.0
99,Brasil,Quênia,2006-01-01,2006,10600.0,15069.0
100,Brasil,Reino Unido,2006-01-01,2006,38281.0,49826.0
102,Brasil,Rússia,2006-01-01,2006,334200.0,164744.0
109,Brasil,Suécia,2006-01-01,2006,16120.0,12000.0
110,Brasil,Suíça,2006-01-01,2006,131073.0,305131.0
111,Brasil,Suriname,2006-01-01,2006,1000.0,2325.0
115,Brasil,"Tcheca, República",2006-01-01,2006,24250.0,105576.0
116,Brasil,Togo,2006-01-01,2006,24.0,21.0
121,Brasil,Uruguai,2006-01-01,2006,1008.0,1685.0
124,Brasil,Vietnã,2006-01-01,2006,2013.0,2362.0
3,Brasil,"Alemanha, República Democrática",2007-01-01,2007,119512.0,238052.0
4,Brasil,Angola,2007-01-01,2007,25931.0,49753.0
7,Brasil,Antilhas Holandesas,2007-01-01,2007,17025.0,17949.0
10,Brasil,Austrália,2007-01-01,2007,60.0,281.0
16,Brasil,Bélgica,2007-01-01,2007,1077.0,3751.0
19,Brasil,Bolívia,2007-01-01,2007,4985.0,3550.0
25,Brasil,Canadá,2007-01-01,2007,4172.0,18838.0
28,Brasil,Chile,2007-01-01,2007,60930.0,67353.0
29,Brasil,China,2007-01-01,2007,7638.0,30390.0
31,Brasil,Cingapura,2007-01-01,2007,7270.0,17864.0
35,Brasil,"Coreia, Republica Sul",2007-01-01,2007,1012.0,4650.0
39,Brasil,Cuba,2007-01-01,2007,2669.0,5118.0
41,Brasil,Dinamarca,2007-01-01,2007,3480.0,11176.0
45,Brasil,Equador,2007-01-01,2007,2700.0,3585.0
48,Brasil,Estados Unidos,2007-01-01,2007,479269.0,810038.0
49,Brasil,Estônia,2007-01-01,2007,77697.0,54056.0
52,Brasil,França,2007-01-01,2007,6349.0,11231.0
72,Brasil,Itália,2007-01-01,2007,7209.0,19860.0
74,Brasil,Japão,2007-01-01,2007,357943.0,316867.0
79,Brasil,Luxemburgo,2007-01-01,2007,785.0,2033.0
84,Brasil,México,2007-01-01,2007,2453.0,15425.0
89,Brasil,Noruega,2007-01-01,2007,10044.0,10044.0
92,Brasil,Países Baixos,2007-01-01,2007,181046.0,364751.0
93,Brasil,Panamá,2007-01-01,2007,810.0,1030.0
94,Brasil,Paraguai,2007-01-01,2007,1285459.0,801519.0
98,Brasil,Portugal,2007-01-01,2007,109074.0,165282.0
99,Brasil,Quênia,2007-01-01,2007,10600.0,13860.0
100,Brasil,Reino Unido,2007-01-01,2007,84613.0,144244.0
101,Brasil,República Dominicana,2007-01-01,2007,601.0,2438.0
102,Brasil,Rússia,2007-01-01,2007,266400.0,173160.0
109,Brasil,Suécia,2007-01-01,2007,919.0,2448.0
110,Brasil,Suíça,2007-01-01,2007,26090.0,70716.0
111,Brasil,Suriname,2007-01-01,2007,2700.0,4603.0
112,Brasil,Tailândia,2007-01-01,2007,839.0,2020.0
113,Brasil,Taiwan (FORMOSA),2007-01-01,2007,6377.0,11214.0
115,Brasil,"Tcheca, República",2007-01-01,2007,85303.0,189620.0
116,Brasil,Togo,2007-01-01,2007,11.0,11.0
